crimeID;offenderID
1315;1059
1316;1060
1318;1061
1320;1062
1320;1063
1321;458
1322;1064
1323;1065
1324;1066
1325;1067
1326;1046
1327;856
1328;1068
1330;1069
1330;1070
1330;1071
1331;1072
1332;782
1333;64
1334;1073
1337;1074
1337;1075
1338;552
1339;1076
1340;981
1340;1077
1340;1078
1340;1079
1341;618
1342;1080
1342;1081
1343;1082
1344;1083
1345;170
1345;171
1345;166
1347;1084
1349;680
1349;681
1350;289
1351;1085
1352;64
1353;1038
1354;1086
1354;1087
1355;1088
1355;1089
1356;1090
1357;1091
1359;1092
1360;1093
1361;1094
1361;1095
1363;1096
1364;1097
1365;151
1365;152
1366;1098
1367;1099
1367;1100
1369;1101
1369;1102
1370;1103
1371;1104
1372;1105
1375;1106
1376;1107
1377;1108
1377;1109
1377;1110
1378;1111
1379;1112
1379;1113
1380;1114
1380;1089
1382;1115
1383;1116
1384;301
1384;1117
1386;1118
1387;1097
1388;1119
1389;1120
1390;102
1390;1121
1391;266
1392;1122
1393;1123
1395;1124
1397;1125
1398;266
1401;1126
1402;1127
1403;921
1534;1128
1535;1129
1537;1130
1538;1131
1538;1132
1539;1133
1539;1134
1540;1135
1540;1136
1540;1137
1541;1138
1542;1139
1543;1140
1544;648
1545;1141
1546;1142
1547;1143
1549;631
1551;1144
1551;1145
1552;1146
1553;1147
1555;1148
1555;1149
1556;1150
1557;1151
1558;981
1558;982
1558;1152
1558;1153
1559;1154
1560;394
1560;395
1561;1155
1561;1156
1561;1157
1561;1158
1562;1159
1562;1160
1563;1161
1564;1162
1565;1163
1565;1164
1567;1165
1568;1166
1569;1167
1569;1168
1570;1169
1571;1170
1572;1171
1572;1172
1573;1173
1574;1174
1575;1175
1576;1176
1577;1177
1578;1178
1579;932
1580;1179
1581;414
1583;1180
1584;215
1585;1181
1586;1182
1586;1183
1587;1184
1588;1185
1589;1175
