offenderID;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22
16899;5.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;5.0;28.0;10876.8
7007;19.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;2.0;0.0;1.0;1.0;0.0;15.0;1.0;0.0;19.0;20.0;52478.2
8535;14.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;1.0;3.0;0.0;0.0;13.0;0.0;0.0;14.0;18.0;27188.5
17364;18.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;3.0;1.0;1.0;0.0;1.0;1.0;2.0;12.0;0.0;0.0;18.0;16.0;55444.7
8353;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;45.0;4200.2
16483;10.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;10.0;16.0;26906.8
15452;7.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;7.0;22.0;15204.6
2430;19.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;19.0;0.0;0.0;19.0;23.0;50645.8
14590;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;3.0;0.0;0.0;11.0;0.0;0.0;12.0;17.0;52017.4
16138;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;5.0;21.0;42184.2
16139;40.0;1.0;0.0;1.0;1.0;0.0;4.0;1.0;20.0;0.0;4.0;0.0;0.0;4.0;1.0;0.0;14.0;4.0;1.0;40.0;16.0;13770.4
17061;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;10.0;19.0;33133.6
16567;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;10.0;0.0;0.0;11.0;20.0;38474.0
8710;27.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;8.0;1.0;1.0;2.0;1.0;3.0;2.0;3.0;14.0;0.0;0.0;27.0;18.0;17956.8
7586;21.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0;6.0;0.0;1.0;3.0;0.0;3.0;1.0;5.0;15.0;0.0;0.0;21.0;22.0;22079.3
12789;15.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;12.0;1.0;0.0;15.0;18.0;59529.2
11837;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;29.0;49649.1
14363;31.0;4.0;1.0;0.0;0.0;0.0;0.0;6.0;11.0;1.0;4.0;6.0;2.0;13.0;4.0;2.0;13.0;0.0;0.0;31.0;15.0;20508.0
12364;22.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;20.0;0.0;1.0;22.0;17.0;20658.7
17;32.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;1.0;8.0;1.0;0.0;9.0;0.0;0.0;11.0;0.0;0.0;32.0;15.0;43268.9
16464;26.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;23.0;0.0;4.0;0.0;0.0;1.0;2.0;0.0;6.0;0.0;0.0;26.0;19.0;75987.6
5280;41.0;1.0;0.0;0.0;6.0;0.0;0.0;6.0;10.0;8.0;0.0;8.0;0.0;3.0;0.0;17.0;26.0;0.0;1.0;41.0;16.0;36424.4
9908;20.0;2.0;0.0;0.0;1.0;0.0;0.0;6.0;1.0;0.0;1.0;3.0;0.0;1.0;1.0;2.0;14.0;0.0;1.0;20.0;17.0;27283.9
12967;13.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;13.0;18.0;27846.1
8157;23.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;23.0;17.0;15530.2
;;;;;;;;;;;;;;;;;;;;;;
5639;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;29.0;40820.3
7674;7.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;7.0;18.0;1396.3
;;;;;;;;;;;;;;;;;;;;;;
8709;18.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;2.0;2.0;2.0;1.0;0.0;1.0;13.0;0.0;0.0;18.0;20.0;11694.4
193;27.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0;20.0;1.0;0.0;21.0;0.0;2.0;23.0;0.0;1.0;27.0;18.0;20349.4
